entity1,entity2,count
Balkanlar,Yunanistan,3
Fransız,Osmanlı Devleti,3
Batum,Rusya,3
Eski Çağ,Mezopotamya,3
Mahmut,Yeniçeri Ocağı,3
Mahmut,Osmanlı Devleti,3
Ardahan,Rusya,3
ûmet,İstanbul Hük,3
Fransız,Mısır,3
Mezopotamya,Tarım Devrimi,3
Hindistan,Ümit Burnu,3
',Türkiye,3
Doğu Cephesi,Millî Mücadele,3
Avusturya,Karlofça,3
Ardahan,Sovyet Rusya,3
Osmanlı Devleti,Ukrayna,3
Cezayir,Tunus,3
Portekiz,İngiltere,3
Balkanlar,Macaristan,3
Kırım Savaşı,Osmanlı Devleti,3
Anadolu,Edirne,3
Eskişehir,Kütahya,3
Anadolu,Selçuk,3
Avusturya,Zitvatorok Antlaşması,3
Amasya,Tokat,3
Balkanlar,Orta Doğu,3
Avusturya,İstanbul Antlaşması,3
Millî İktisat Politikası,İttihat ve Terakki,2
Kaşgarlı Mahmud,Ömer Hayyam,2
Bulgar Prensliği,Osmanlı Devleti,2
Güney Asya,Uzak Doğu,2
Kaşgarlı Mahmud,İbni Bibi,2
Musul Sorunu,İngiltere,2
Avrupa,Batı Roma İmparatorluğu,2
İzmir,İzmir Müdâfaa - i Hukuk - ı Osmaniye Cemiyeti,2
Güney Asya,İngiltere,2
Bulgar,Osmanlı Devleti,2
Mısır,Sina Yarımadası,2
Cezeri,Ömer Hayyam,2
Musul,Türkiye,2
Mısır,İskenderiye,2
Mısır,İran,2
BM,İngiltere,2
Avrupa,Rumeli,2
Mısır,SSCB,2
Bilecik,Şeyh Edebali,2
Arnavutluk,İtalya,2
Cezeri,Kaşgarlı Mahmud,2
Arnavutluk,Yugoslavya,2
Atlantik Bildirisi,Dünya Savaşı,2
Birleşmiş Milletler Teşkilatı,Japonya,2
Atlantik Bildirisi,İngiltere,2
Musul Sorunu,Sovyet Rusya,2
Avrupa,Kavimler Göçü ' nün,2
Avrupa,Kavimler Göçü,2
Birleşmiş Milletler Teşkilatı,San Francisco Konferansı,2
Mısır,İstanbul,2
Bilecik,Yenişehir,2
Kaynak A,Kaynak B,2
Avrupa,Roma İmparatorluğu,2
Mısır,Tunus,2
Emîr Timur,Semerkand,2
Bosna - Hersek,Yugoslavya,2
Bilecik,İznik,2
Trabzon,Trabzon Komnenos Krallığı,2
Trabzon,İstanbul,2
Dört Halife Dönemi,İslam Devleti,2
Afrika,Hint,2
Balta Limanı Antlaşması ',Osmanlı Devleti,2
Atatürk ' ün İhtilal Hukuku,Taha Akyol,2
Nadir Şah,İran,2
Afrika,Atlantik Okyanusu,2
Mısır,Napolyon,2
Avrupa,Sicilya,2
Mısır,İbrahim Paşa,2
Bitlis,Harput,2
Sovyetler Birliği,İngiltere,2
Güvenlik Konseyi,İngiltere,2
Halil İnalcık,İznik,2
Güvenlik Konseyi,Çin,2
Avrupa,Çin,2
Kuvây - ı Milliye,Millî Mücadele,2
Memlûk,Yavuz Sultan Selim,2
Afrika,Çaldıran Savaşı,2
Katolik,Protestanlı,2
Afrika,Mısır Seferi,2
Afrika,Fransız,2
Halil İnalcık,İstanbul,2
Afrika,Hindistan,2
Avrupa,Karadeniz,2
Mısır,Portekiz,2
Mısır,Rusya,2
Memlûk,Osmanlı,2
Bosna - Hersek,Osmanlı Devleti,2
Tuğrul,Çağrı Beyler,2
Bilecik,Bursa,2
Megali İdea,Yunanistan,2
Doğu Roma,Roma İmparatorluğu,2
Arap,Mısır,2
Bitinya,İznik,2
Gazneli Devleti,Karahanlı Devleti,2
Küçük Kaynarca Antlaşması ',Kırım,2
Gazneli Devleti,Türkiye Selçuklu,2
Avrupa,Paris,2
Bitinya,Bursa,2
Düyûn - ı Umûmiye İdaresi,Osmanlı Devleti,2
Mısır,Yemen,2
Mısır,Trablusgarp,2
Afrika,Osmanlı,2
Musul,Süleymaniye,2
Balkanlar,Karadeniz,2
Sevr Antlaşması ',Türkiye,2
Konstantin,İstanbul,2
Kadıköy,İstanbul,2
Cumhuriyet Halk Fırkası,Müdafaa - i Hukuk Cemiyeti,2
Eskişehir,TBMM,2
Irak,Yemen,2
Eski Çağ,Tarım Devrimi,2
Eski Çağ,Güneydoğu Asya,2
Eski Çağ,Orta Amerika,2
Kastamonu,İnebolu,2
Dünya Savaşı,Sovyet Rusya,2
Mehmet,Osmanlı,2
Büyük Selçuklu,Türkiye,2
